1	97	55	8	795
1.3	80	55	6.9	787
1.6	15	55	7.3	702.1
1.5	40	55	7.4	668
1.6	15	55	7.5	668
2	48	55	8	666
4	24	55	7	655
3.45	40	55	6.6	647
2.9	15	55	6.95	641
2	12	55	7.3	632
1.75	50	55	6.9	628
1.5	25	55	7.4	620
1.6	15	55	7.5	607.2
2	47	55	7.5	603
3	32	55	8	601
1.6	15	55	7	600.3
2.3	15	55	7.7	598.4
1	93	55	7.4	597
1.05	20	36	6.5	583
1.1	40	37	7.05	568
1.6	15	55	7.6	567.9
2.7	9	55	6.9	554.8
1.2	24	55	7.2	546
2	40	55	7.24	541
2.9	15	55	7.37	536
3	31	55	7.5	536
1.6	15	55	7.4	533.7
3	102	38	7.32	520
2	40	38	7.24	508
8.3	10	37	7.5	506
3.5	15	35	7.2	490
3	50	35	7.56	490
3	50	35	7.73	490
2	40	38	7.29	487
4	40	38	7.03	483
4.7	40	37	7.415	480
4.1	20	37	7.8	479
0.2	40	36	7.385	470
4	26	38	6.97	467
4.1	20	37	7.7	466
3.1	15	35	7.2	462
1	24	36	7.2	454
8.1	10	37	7.4	453
6.2	15	37	7.6	452
4	20	37	7.6	450
4	20	37	7.6	448.9
1	40	37	7.4	447
3	30	35	7.4	440
4	26	38	7.08	439
2	40	38	7.25	431
4	20	37	7.5	425
3	30	35	7.37	420
1.7	30	37	7.5	420
6.1	15	37	7.5	419
2	40	38	7.34	417
4	20	37	7.22	413.4
4	26	38	6.94	400
0.8	30	34	7.5	398
1.4	25	36	7.2	398
4	26	38	7.17	396
1.9	22	37	7.8	395
6.1	15	37	7.3	392
3	88	38	7.3	390
2.2	101	38	7.4	390
12	40	35	7.3	388
1.7	20	37	7.5	383
2	25	55	7.5	380
8.1	10	37	7.2	376
1.8	29.4	35	7.4	368.2
2.2	24.1	35	7.4	365.6
2.4	50	37	7.215	365
4	20	37	7.03	360
1.8	20	37	7.77	354
	20	50	7.91	351
1.96	10	37	7.6	349
8	50	35	7.2	347
2	40	38	7.24	346
4	23	55	6.5	345
2.3	30	35	7.9	340
2	15	35	7.2	337.26
2	24	36	7.3	333
2	27	35	7.55	330
2	26	35	7.8	330
2	25	35	7.8	330
2	26	35	7.8	330
2	40	38	7.39	325
1.7	25	36	7.4	324
2.4	50	37	7.4	322
1.2	30	35	7.4	320
15	20	35	7.1	317
1.7	60	37	7.2	316
1.3	20	37	7.3	311
2	26	35	7.3	310
4	26	38	7.3	304
2.4	50	37	7.5	301
2	20	37	7.7	301
3	39	35	7.9	300
3	28	35	7.8	300
2	27	35	7.85	300
2.3	30	35	7.9	300
1.2	20	55	7.5	300
1.7	20	37	7.255	300
4	20	37	7.01	296
2.48	10	37	7.7	293
1.6	26	36	7.3	292
0.8	20	37	7.55	290
2.92	10	37	7.8	288
