Time,OLR ,pH,ALK,VFA,SBY,SMY
149,4,7.60,6105,1321,717.7,390.8
150,4,7.58,6116,1444,724.5,397.1
151,4,7.63,6118,1536,707.6,405.8
152,4,7.58,6041,1646,690.7,414.4
153,4,7.61,6127,1567,699.0,416.1
154,4,7.59,6022,1688,707.4,417.8
155,4,7.59,5965,1756,687.5,409.8
156,4,7.58,5917,1809,632.5,401.7
157,4,7.63,5923,1894,646.3,398.4
158,4,7.59,5907,1824,660.1,395.1
159,4,7.62,6141,1854,649.0,383.9
160,4,7.57,5928,1978,637.9,372.7
161,4,7.64,6141,1890,615.6,383.3
162,4,7.55,6374,1883,593.2,393.8
163,4,7.65,6437,1904,616,513.7
164,4,7.66,6354,1802,625.3,523.3
165,4,7.57,6608,1876,634.7,492.5
166,4.5,7.60,6499,1924,638.5,474.0
167,5,7.65,6589,2033,640.6,456.8
168,5.5,7.57,6862,1950,787.0,499.8
169,6,7.60,6678,2142,768.8,548.4
170,6,7.65,6972,2096,650.5,411.4
171,6,7.57,7135,1867,696.6,431.8
172,6,7.70,7432,1966,663.9,406.5
173,6,7.64,7265,2050,507.0,311.4
174,6,7.77,7449,2145,658.7,453.4
175,6,7.76,7728,2064,638.2,439.5
176,6,7.78,7633,2239,740.5,493.0
177,6,7.77,7849,2233,617.4,419.8
178,6,7.87,8007,1984,657.6,410.8
179,6,7.88,8206,2101,612.9,369.6
180,6,7.83,8064,2227,681.4,419.6
181,6,7.80,8211,2264,656.8,380.9
182,6,7.81,8406,2217,647.8,461.3
183,6,7.81,8357,2300,651.3,468.1
184,6,7.79,8425,2343,715.9,524.5
185,6,7.84,8601,2171,641.4,460.0
186,6,7.84,8714,2319,752.7,518.1
187,6,7.85,8493,2386,783.9,605.7
188,6,7.84,8694,2404,815.1,535.9
189,6,7.82,8826,2466,696.0,413.5
190,6,7.87,8894,2421,720.0,454.6
191,6,7.85,8947,2526,676.6,428.6
192,6,7.87,8959,2529,695.1,427.6
193,6,7.85,9069,2389,700.5,429.0
194,6,7.86,8999,2631,693.1,463.5
195,6,7.83,9068,2360,710.2,516.4
196,6,7.84,9178,2249,679.0,486.4
197,6,7.88,9137,2089,685.7,477.6
198,6,7.82,3876,909,666.0,449.5
199,6,7.85,9288,2137,667.1,434.8
200,6,7.84,9317,2223,681.2,428.0
201,6,7.83,9480,2510,669.7,472.6
202,6,7.82,9346,2309,671.7,474.0
203,6,7.83,9321,2405,707.4,485.7
204,6,7.84,9642,2510,697.7,498.1
205,6,7.84,9295,2500,683.7,502.4
206,6,7.94,9295,2500,656.9,483.4
207,6,8.04,9964,2510,686.1,505.0
208,6,7.88,8694,2500,749.6,544.3
209,6,7.72,8826,2510,709.0,514.8
210,6,7.76,10633,2519,756.5,540.0
211,6,7.75,10421,2882,711.8,501.4
212,6,7.74,10510,2589,677.0,462.0
213,6,7.71,10109,2751,677.1,439.3
214,6,7.73,10209,3245,662.2,413.2
215,6,7.72,10159,2913,662.1,480.9
216,6,7.74,9709,2913,633.2,459.1
217,6,7.82,9884,2706,657.0,473.7
218,6,7.70,10109,2581,637.2,444.4
219,6,7.70,9909,2415,675.2,474.1
220,6,7.60,10059,2498,661.6,462.1
221,6,7.74,9709,2249,715.3,492.3
222,6,7.75,9896,2498,703.3,459.9
223,6,7.76,10209,2581,732.2,464.6
224,6,7.75,10059,2581,699.6,435.8
225,6,7.73,10084,2747,730.2,450.5
226,6,7.78,9909,2581,713.3,500.5
227,6,7.73,9959,2747,718.8,481.4
228,6,7.80,10109,2913,712.8,459.5
229,6,7.80,9859,3121,681.0,426.7
230,6,7.79,10009,2913,711.2,445.3
231,6,7.73,9909,3079,681.4,485.0
232,6,7.71,9609,3328,691.5,496.3
233,6,7.84,9809,3245,660.1,459.7
234,6,7.76,9258,4241,735.4,501.6
235,6,7.66,9308,3577,686.9,443.6
236,6,7.65,8820,4615,638.4,385.6
237,6,7.60,8708,5237,595.5,345.4
238,6,7.63,8458,5403,646.5,376.1
239,6,7.59,8332,5652,622.7,441.1
240,6,7.66,8207,5569,713.6,484.1
241,6,7.55,8057,5735,619.3,407.7
242,6,7.61,8207,5901,697.3,441.2
243,6,7.60,8157,5694,631.0,379.0
244,6,7.59,7907,5901,714.6,432.6
245,6,7.53,7907,5735,646.7,435.2
246,6,7.62,8107,5486,758.1,526.5
247,6,7.56,7907,5569,804.2,541.0
248,6,7.65,8107,5403,681.8,442.9
249,6,7.56,8307,5237,686.3,412.8
250,6,7.62,3876,909,746.5,454.3
251,6,7.61,8307,5237,736.7,540.6
252,6,7.65,8307,5237,775.6,558.3
253,6,7.68,8708,4905,727.6,523.8
254,6,7.68,8694,8694,729.3,485.5
255,6,7.60,8826,8826,658.4,455.5
256,6,7.70,9108,4573,834.7,550.4
257,6,7.70,9008,4863,673.1,468.8
258,6,7.70,9308,3909,773.9,490.4
259,6,7.67,9408,4407,806.8,487.7
260,6,7.63,8908,5154,721.2,425.5
261,6,7.61,9509,4905,701.8,504.5
262,6,7.64,8958,5403,745.7,474.1
263,6,7.51,8408,5901,627.9,415.1
264,6,7.58,8408,5901,636.7,447.7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
